t,o,h,l,c,v,g1.ADX
1662433200000,19806.0,19815.9,19694.2,19780.2,16485.985,1.8415633863009258
1662436800000,19780.3,19839.9,19744.0,19754.1,17001.593,3.7191280768877513
1662440400000,19754.1,19829.3,19724.0,19772.2,16109.126,4.820921600331952
1662444000000,19772.3,19880.1,19755.0,19848.2,18069.82,6.368097512691159
1662447600000,19848.3,19940.0,19836.0,19900.7,28810.795,8.596787800524922
1662451200000,19900.7,20017.5,19853.4,20008.3,29817.373,12.721631920133134
1662454800000,20008.4,20023.2,19870.0,19905.6,26582.364,16.570092490417533
1662458400000,19905.7,19992.2,19893.3,19904.9,16604.11,20.061499203385242
1662462000000,19905.0,19949.8,19850.0,19909.2,17222.9,22.621888719624646
1662465600000,19909.2,19987.5,19832.0,19841.1,25688.32,25.056377740980487
1662469200000,19841.2,19897.0,19705.0,19775.2,46130.672,25.547845884681227
1662472800000,19775.1,19850.0,19650.4,19828.3,64981.027,24.8394027397105
1662476400000,19828.2,19877.9,19761.2,19810.1,23815.99,23.648250065882713
1662480000000,19810.2,19847.1,19670.0,19737.7,28572.358,22.56547134449317
1662483600000,19737.7,19747.6,18846.9,19088.2,181256.726,25.289272673910183
1662487200000,19088.2,19119.0,18935.0,18947.4,51090.593,28.012696978732652
1662490800000,18947.4,19005.8,18700.0,18813.0,56081.08,30.88547729973248
1662494400000,18813.1,19000.8,18600.0,18972.9,59171.574,34.050627179289
1662498000000,18972.8,19066.6,18915.0,18968.5,19485.18,36.94597555935669
1662501600000,18968.5,18988.8,18869.5,18895.1,14315.001,40.267693315325914
1662505200000,18895.0,18907.6,18768.0,18781.5,18198.075,43.46322488049275
1662508800000,18781.4,18861.9,18650.0,18821.5,39173.368,46.49806822863735
1662512400000,18821.5,18848.0,18770.0,18779.0,13428.641,49.2923580053497
1662516000000,18779.0,18817.8,18500.0,18603.7,41608.358,52.26441428022213
1662519600000,18603.7,18740.0,18602.0,18736.3,16338.573,54.98147172179021
1662523200000,18736.2,18749.7,18664.2,18714.9,12461.194,57.414571557220185
1662526800000,18714.9,18790.0,18702.2,18750.6,14929.006,59.5857570055096
1662530400000,18750.5,18833.0,18720.1,18785.6,15267.171,61.247491926459396
1662534000000,18785.6,18813.3,18714.7,18791.5,16076.846,61.821976265607375
1662537600000,18791.4,18848.0,18761.7,18795.2,12640.661,61.96287475736073
1662541200000,18795.3,18805.0,18754.5,18777.5,8417.27,61.39329971460921
1662544800000,18777.6,18788.7,18720.1,18738.3,12657.592,60.586400577768515
1662548400000,18738.2,18774.4,18679.9,18729.5,15282.241,60.9689523662671
1662552000000,18729.4,18776.0,18663.6,18771.3,18589.408,61.225615137544146
1662555600000,18771.4,18922.7,18764.5,18830.0,47544.22,58.8770524163902
1662559200000,18830.1,18960.0,18803.6,18892.3,33463.856,55.31578184724348
1662562800000,18892.3,18924.9,18836.9,18863.3,17704.628,52.00888774732152
1662566400000,18863.3,18980.0,18844.8,18903.5,24171.986,52.29293441850932
1662570000000,18903.4,19029.0,18895.0,18986.0,21408.867,52.853342544347406
1662573600000,18986.0,19180.0,18948.5,19063.6,43671.715,53.98273594376828
1662577200000,19063.6,19188.0,18980.0,18982.1,29477.992,54.91639445614071
1662580800000,18982.1,19450.0,18980.0,19374.8,74579.097,56.391613132045
1662584400000,19374.8,19455.0,19245.5,19350.5,32565.455,57.85172335238394
1662588000000,19350.5,19416.9,19308.8,19328.6,18198.973,59.13684227921349
1662591600000,19328.7,19344.1,19240.0,19287.0,15979.575,59.44471161973136
1662595200000,19287.0,19373.8,19230.0,19294.9,22412.243,60.28191604559815
1662598800000,19294.8,19317.1,19139.4,19172.8,19450.529,60.38917761602248
1662602400000,19172.8,19244.4,19172.8,19226.5,9562.396,60.69732758891321
1662606000000,19226.6,19245.4,19180.9,19209.1,6243.134,60.49853214821529
1662609600000,19209.1,19370.0,19203.9,19342.3,18366.482,60.62458396446833
1662613200000,19342.2,19356.6,19279.0,19295.9,9331.701,60.74163207956043
1662616800000,19296.0,19342.5,19215.3,19228.4,12561.249,59.8111599498694
1662620400000,19228.4,19259.5,19047.9,19164.0,41729.03,56.941339201972816
1662624000000,19164.0,19224.0,19138.2,19217.9,12856.03,53.22045267863505
1662627600000,19218.0,19233.9,19133.6,19177.6,14235.313,49.78104008085487
1662631200000,19177.6,19350.0,19166.0,19296.2,27277.122,47.324964438470246
1662634800000,19296.1,19400.0,19270.0,19303.1,17861.226,44.530446830536896
1662638400000,19303.1,19370.6,19091.4,19137.0,46686.487,43.23616378758648
1662642000000,19137.0,19350.0,19003.8,19215.1,75682.167,42.141836285911914
1662645600000,19215.0,19312.0,19082.7,19307.8,44910.833,41.4307495296027
1662649200000,19307.8,19339.0,19214.8,19240.4,25485.075,39.930424686012266
1662652800000,19240.5,19251.3,19080.0,19178.7,38273.971,39.33479062484764
1662656400000,19178.7,19236.8,19109.8,19191.1,21514.349,38.79149595220692
1662660000000,19191.2,19239.2,19160.4,19194.2,9297.225,39.65990722214521
1662663600000,19194.2,19342.4,19176.5,19341.7,15608.96,39.283434175943114
1662667200000,19341.7,19450.0,19320.2,19366.8,24883.264,37.58162130852532
1662670800000,19366.8,19368.5,19280.0,19322.1,8916.007,35.105490638565506
1662674400000,19322.1,19322.2,19245.5,19294.0,8178.213,33.07446641255229
1662678000000,19294.0,19329.6,19270.2,19309.3,5945.638,31.20993250306888
